Sector,Weight,Ticker
Kommunikation,0.1036686,IQQF
Materialien,0.0250872,IQQF
Nichtzyklische Konsumgüter,0.017283200000000002,IQQF
Versorger,0.0151478,IQQF
Zyklische Konsumgüter,0.1216843,IQQF
Cash und/oder Derivate,0.0040286,IUSQ
Energie,0.0313547,IUSQ
Financials,0.1951976,IUSQ
Gesundheitsversorgung,0.08942649999999999,IUSQ
IT,0.2653857,IUSQ
Immobilien,0.016844,IUSQ
Industrie,0.1053669,IUSQ
Kommunikation,0.0861166,IUSQ
Materialien,0.0342668,IUSQ
Nichtzyklische Konsumgüter,0.0484159,IUSQ
Versorger,0.0234124,IUSQ
Zyklische Konsumgüter,0.1001851,IUSQ
Cash und/oder Derivate,0.005416000000000001,IQQE
Energie,0.0338667,IQQE
Financials,0.2294468,IQQE
Gesundheitsversorgung,0.031378500000000004,IQQE
IT,0.2915782,IQQE
Immobilien,0.0133117,IQQE
Industrie,0.0686938,IQQE
Kommunikation,0.090774,IQQE
Materialien,0.0668603,IQQE
Nichtzyklische Konsumgüter,0.0349913,IQQE
Sonstige,3.4e-06,IQQE
Versorger,0.0202304,IQQE
Zyklische Konsumgüter,0.1134483,IQQE
Cash und/oder Derivate,0.0037168999999999995,EUNM
Energie,0.0331801,EUNM
Financials,0.2592381,EUNM
Gesundheitsversorgung,0.0294502,EUNM
IT,0.2831209,EUNM
Immobilien,0.0132333,EUNM
Industrie,0.0623662,EUNM
Kommunikation,0.09103259999999999,EUNM
Materialien,0.0627573,EUNM
Nichtzyklische Konsumgüter,0.0317194,EUNM
Sonstige,2.5999999999999997e-06,EUNM
Versorger,0.0185158,EUNM
Zyklische Konsumgüter,0.1116659,EUNM
Cash und/oder Derivate,0.005235699999999999,IQQY
Energie,0.0384067,IQQY
Financials,0.2415006,IQQY
Gesundheitsversorgung,0.1407475,IQQY
IT,0.0751511,IQQY
Immobilien,0.0072576,IQQY
Industrie,0.1939563,IQQY
Kommunikation,0.034735,IQQY
Materialien,0.0510464,IQQY
Nichtzyklische Konsumgüter,0.0872486,IQQY
Versorger,0.0466692,IQQY
Zyklische Konsumgüter,0.0780451,IQQY
Cash und/oder Derivate,0.0051103,EUNK
Energie,0.0385457,EUNK
Financials,0.2418899,EUNK
Gesundheitsversorgung,0.1408107,EUNK
IT,0.07514030000000001,EUNK
Immobilien,0.0070901,EUNK
Industrie,0.1937587,EUNK
Kommunikation,0.0344761,EUNK
Materialien,0.0512322,EUNK
Nichtzyklische Konsumgüter,0.0869954,EUNK
Versorger,0.0466296,EUNK
Zyklische Konsumgüter,0.0783213,EUNK
Cash und/oder Derivate,0.0052714,IQQU
Energie,0.022834,IQQU
Financials,0.23789,IQQU
Gesundheitsversorgung,0.1384767,IQQU
IT,0.0937689,IQQU
Immobilien,0.0073952,IQQU
Industrie,0.20834830000000001,IQQU
Kommunikation,0.038524699999999995,IQQU
Materialien,0.0438395,IQQU
Nichtzyklische Konsumgüter,0.06937510000000001,IQQU
Versorger,0.046185300000000006,IQQU
Zyklische Konsumgüter,0.0880905,IQQU
Cash und/oder Derivate,0.0035022,IQQJ
Energie,0.009306,IQQJ
Financials,0.1726647,IQQJ
Gesundheitsversorgung,0.0661828,IQQJ
IT,0.1411103,IQQJ
Immobilien,0.0239384,IQQJ
Industrie,0.2572331,IQQJ
Kommunikation,0.0732281,IQQJ
Materialien,0.0337044,IQQJ
Nichtzyklische Konsumgüter,0.0449388,IQQJ
Versorger,0.0107259,IQQJ
Zyklische Konsumgüter,0.1634651,IQQJ
Cash und/oder Derivate,0.0048846,EUNN
Energie,0.009421,EUNN
Financials,0.156322,EUNN
Gesundheitsversorgung,0.061098599999999996,EUNN
IT,0.1360269,EUNN
Immobilien,0.0380623,EUNN
Industrie,0.2544783,EUNN
Kommunikation,0.0640381,EUNN
Materialien,0.0499467,EUNN
Nichtzyklische Konsumgüter,0.051761,EUNN
Versorger,0.0133781,EUNN
